zerothird_unique_run_data_row,run_timestamp_utc,run_timestamp_local,record_id,alice_file,filename_kind,curated_window,curated_mode,rows,qkd_rows,chsh_rows,alice_results_csv,alice_results_data_rows,alice_results_line_numbers,first_alice_results_line_number,last_alice_results_line_number,good_results_combined_csv,good_results_combined_data_rows,zerothird_results_csv,zerothird_results_data_rows,first_zerothird_results_data_row,last_zerothird_results_data_row
4194,2026-07-11T01:12:40.727516+00:00,2026-07-11T03:12:40.727516+02:00,CHSH_S_step0443,alice_CHSH_S_step0443_20260711T011240.727516Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37229,37230,37230,37230,Data/GoodResults/alice_results_good_since_20260628.csv,22093,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6752,6752,6752
4195,2026-07-11T01:12:54.674714+00:00,2026-07-11T03:12:54.674714+02:00,CHSH_S_step0444,alice_CHSH_S_step0444_20260711T011254.674714Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37230,37231,37231,37231,Data/GoodResults/alice_results_good_since_20260628.csv,22094,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6753,6753,6753
4196,2026-07-11T01:13:08.669475+00:00,2026-07-11T03:13:08.669475+02:00,CHSH_S_step0445,alice_CHSH_S_step0445_20260711T011308.669475Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37231,37232,37232,37232,Data/GoodResults/alice_results_good_since_20260628.csv,22095,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6754,6754,6754
4197,2026-07-11T01:13:22.613063+00:00,2026-07-11T03:13:22.613063+02:00,CHSH_S_step0446,alice_CHSH_S_step0446_20260711T011322.613063Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37232,37233,37233,37233,Data/GoodResults/alice_results_good_since_20260628.csv,22096,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6755,6755,6755
4198,2026-07-11T01:13:36.486408+00:00,2026-07-11T03:13:36.486408+02:00,CHSH_S_step0447,alice_CHSH_S_step0447_20260711T011336.486408Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37233,37234,37234,37234,Data/GoodResults/alice_results_good_since_20260628.csv,22097,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6756,6756,6756
4199,2026-07-11T01:13:50.393377+00:00,2026-07-11T03:13:50.393377+02:00,CHSH_S_step0448,alice_CHSH_S_step0448_20260711T011350.393377Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37234,37235,37235,37235,Data/GoodResults/alice_results_good_since_20260628.csv,22098,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6757,6757,6757
4200,2026-07-11T01:14:04.384979+00:00,2026-07-11T03:14:04.384979+02:00,CHSH_S_step0449,alice_CHSH_S_step0449_20260711T011404.384979Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37235,37236,37236,37236,Data/GoodResults/alice_results_good_since_20260628.csv,22099,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6758,6758,6758
4201,2026-07-11T01:14:18.357715+00:00,2026-07-11T03:14:18.357715+02:00,CHSH_S_step0450,alice_CHSH_S_step0450_20260711T011418.357715Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37236,37237,37237,37237,Data/GoodResults/alice_results_good_since_20260628.csv,22100,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6759,6759,6759
4202,2026-07-11T01:14:32.217504+00:00,2026-07-11T03:14:32.217504+02:00,CHSH_S_step0451,alice_CHSH_S_step0451_20260711T011432.217504Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37237,37238,37238,37238,Data/GoodResults/alice_results_good_since_20260628.csv,22101,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6760,6760,6760
4203,2026-07-11T01:14:46.112376+00:00,2026-07-11T03:14:46.112376+02:00,CHSH_S_step0452,alice_CHSH_S_step0452_20260711T011446.112376Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37238,37239,37239,37239,Data/GoodResults/alice_results_good_since_20260628.csv,22102,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6761,6761,6761
