timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762553811.8479772,2.73293,0.06855,0.63675,-0.76264,0.71116,0.62238,236,68,17,147,35,290,111,19,241,33,33,150,226,68,13,122
1762553820.1336417,2.77618,0.06778,0.74123,-0.68776,0.66516,0.68203,279,45,14,118,51,286,114,23,243,49,25,125,223,58,11,142
1762553828.429285,2.72969,0.06872,0.69102,-0.7156,0.71002,0.61305,265,53,21,140,44,253,121,18,258,29,39,143,225,62,21,121
1762553836.7182653,2.60581,0.07036,0.60842,-0.68619,0.68109,0.63011,261,68,25,121,43,272,131,32,226,31,39,143,226,71,15,153
1762553845.0122344,2.74042,0.06818,0.62041,-0.75566,0.67579,0.68856,262,75,18,135,41,277,111,13,272,44,33,126,220,49,15,127
1762553853.2982697,2.71011,0.06872,0.64919,-0.712,0.69856,0.65035,282,63,24,127,44,312,116,28,223,34,29,132,218,62,13,136
1762553861.6045024,2.70541,0.07063,0.59833,-0.75286,0.73206,0.62217,267,74,22,115,39,278,105,15,231,27,29,131,207,62,13,115
1762553869.9074166,2.79102,0.06698,0.6627,-0.77586,0.6777,0.67476,281,58,27,138,31,309,103,21,244,31,42,136,197,53,14,148
1762553878.2314746,2.7164,0.06737,0.69429,-0.67841,0.7045,0.6392,316,63,20,144,56,282,99,17,274,40,29,124,229,75,6,139
1762553886.5439675,2.62446,0.07263,0.66259,-0.67593,0.61174,0.67421,237,51,18,103,55,261,101,15,233,53,33,124,216,54,18,154
1762553894.8297925,2.78068,0.06679,0.67532,-0.75869,0.72889,0.61778,265,58,17,122,40,316,114,19,253,24,37,136,220,73,13,144
1762553903.1323254,2.69436,0.06818,0.61771,-0.75983,0.67462,0.6422,278,81,14,124,39,301,124,19,240,37,38,146,207,65,13,151
1762553911.4586132,2.7519,0.06743,0.64103,-0.72185,0.6888,0.70022,259,65,19,125,43,290,100,20,255,34,41,152,211,57,10,169
1762553919.7688618,2.68289,0.07086,0.63711,-0.69593,0.68056,0.66929,265,67,21,132,56,302,94,15,225,36,33,138,182,51,12,136
1762553928.1244328,2.60601,0.07198,0.61441,-0.671,0.69593,0.62468,262,69,22,119,53,254,132,23,233,36,35,163,184,64,9,132
1762553936.4296458,2.75418,0.06714,0.68033,-0.67702,0.72566,0.67117,305,66,12,105,64,301,104,14,260,38,24,130,216,60,13,155
1762553944.732988,2.62279,0.07106,0.64731,-0.70124,0.72494,0.5493,259,63,19,124,52,291,119,20,225,36,23,145,201,77,19,129
1762553953.0328019,2.63599,0.06959,0.57627,-0.72746,0.63203,0.70022,243,73,27,129,43,306,106,22,229,60,25,148,229,54,13,151
1762553961.3319142,2.6783,0.07098,0.62733,-0.74138,0.71492,0.59467,274,71,19,119,41,277,127,19,251,28,36,134,188,56,20,111
1762553969.6180747,2.73288,0.06889,0.60944,-0.75796,0.70288,0.66259,267,68,23,108,37,288,126,20,243,41,26,141,208,59,10,132
1762553977.902798,2.75775,0.06868,0.69937,-0.68085,0.71861,0.65891,274,54,18,133,53,279,116,22,235,29,36,162,197,60,6,124
1762553986.181957,2.77127,0.06774,0.62473,-0.73102,0.70909,0.70642,280,71,17,101,42,285,114,20,244,31,33,132,244,54,10,128
1762553994.4749901,2.75513,0.06755,0.65432,-0.69231,0.71304,0.69545,275,66,18,127,43,275,110,27,248,35,31,146,210,56,11,163
1762554002.7754765,2.70435,0.06937,0.58811,-0.73248,0.69333,0.69042,275,72,25,99,40,287,121,23,244,36,33,137,222,51,12,122
1762554011.0466447,2.61701,0.06947,0.61121,-0.70431,0.68685,0.61463,300,83,21,131,46,291,124,26,249,36,39,155,197,72,7,134
1762554019.3556633,2.6872,0.06889,0.65339,-0.73576,0.63907,0.65899,289,67,20,126,38,281,100,20,249,51,34,137,206,59,15,154
1762554027.6433606,2.74523,0.06847,0.67288,-0.77872,0.67213,0.6215,285,68,11,119,41,299,119,11,220,37,33,137,215,61,20,132
1762554035.9402683,2.75513,0.06791,0.59343,-0.76659,0.69298,0.70213,270,72,27,118,38,267,119,13,251,37,33,135,202,51,12,158
1762554044.2202477,2.58846,0.07018,0.57471,-0.71554,0.66737,0.63084,287,86,25,124,43,281,111,22,247,33,46,149,226,63,16,123
1762554052.5278115,2.80963,0.06565,0.66324,-0.72784,0.74642,0.67213,257,57,25,148,48,299,120,18,268,29,33,159,225,52,18,132
1762554060.8067663,2.84454,0.06589,0.6971,-0.75701,0.76264,0.6278,307,54,19,102,38,274,102,14,244,34,20,157,201,71,12,162
1762554069.1006196,2.72408,0.06811,0.66186,-0.72574,0.68053,0.65596,265,61,21,138,39,300,109,26,244,42,31,140,217,58,17,144
1762554077.3907647,2.80533,0.06811,0.65458,-0.73516,0.74222,0.67337,261,51,30,127,36,272,108,22,256,34,24,136,203,59,6,130
1762554085.6823661,2.68927,0.06911,0.61212,-0.73763,0.67841,0.6611,278,73,23,121,36,294,110,25,252,37,36,129,198,56,15,150
1762554093.9985967,2.72833,0.06924,0.63556,-0.7046,0.64803,0.74014,243,63,19,125,45,250,102,16,260,45,40,138,221,46,10,154
1762554102.31276,2.58221,0.07245,0.58898,-0.72321,0.71498,0.55504,255,73,24,120,44,274,112,18,211,31,28,144,191,72,23,141
