timestamp,S_value,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA,total_coinc
1762168847.9934475,2.14985,0.30075,0.69767,-0.92562,0.22581,66,52,41,107,102,18,21,117,1,124,109,8,59,60,24,74,"dict_values([66, 52, 41, 107, 102, 18, 21, 117, 1, 124, 109, 8, 59, 60, 24, 74])"
1762168850.818372,2.19289,0.24399,0.75,-0.94656,0.25234,70,54,56,111,85,13,22,160,2,130,125,5,67,56,24,67,"dict_values([70, 54, 56, 111, 85, 13, 22, 160, 2, 130, 125, 5, 67, 56, 24, 67])"
1762168853.7206063,2.01078,0.21739,0.74899,-0.89761,0.14679,66,64,53,116,115,16,15,101,3,141,137,12,57,72,21,68,"dict_values([66, 64, 53, 116, 115, 16, 15, 101, 3, 141, 137, 12, 57, 72, 21, 68])"
1762168856.5812898,2.24304,0.35294,0.69925,-0.92035,0.27049,82,49,50,125,105,18,22,121,3,98,119,6,77,67,22,78,"dict_values([82, 49, 50, 125, 105, 18, 22, 121, 3, 98, 119, 6, 77, 67, 22, 78])"
1762168859.4465134,2.09392,0.30282,0.73077,-0.86784,0.19249,74,54,45,111,100,17,18,125,4,121,91,11,55,57,29,72,"dict_values([74, 54, 45, 111, 100, 17, 18, 125, 4, 121, 91, 11, 55, 57, 29, 72])"
1762168862.274708,2.14195,0.23364,0.77099,-0.9668,0.17051,79,74,49,119,98,12,18,134,0,122,115,4,54,61,29,73,"dict_values([79, 74, 49, 119, 98, 12, 18, 134, 0, 122, 115, 4, 54, 61, 29, 73])"
1762168865.1059732,2.14414,0.36727,0.69466,-0.8913,0.19091,75,42,45,113,104,14,26,118,3,132,129,12,51,61,28,80,"dict_values([75, 42, 45, 113, 104, 14, 26, 118, 3, 132, 129, 12, 51, 61, 28, 80])"
1762168867.93212,1.94163,0.17563,0.62791,-0.9,0.2381,62,62,53,102,83,24,24,127,2,140,126,12,73,68,20,70,"dict_values([62, 62, 53, 102, 83, 24, 24, 127, 2, 140, 126, 12, 73, 68, 20, 70])"
1762168870.7658336,2.05594,0.21854,0.67286,-0.96454,0.2,83,65,53,101,107,21,23,118,0,141,136,5,63,54,28,60,"dict_values([83, 65, 53, 101, 107, 21, 23, 118, 0, 141, 136, 5, 63, 54, 28, 60])"
1762168873.5450547,2.24196,0.35333,0.73684,-0.92174,0.23005,83,57,40,120,103,14,21,128,1,133,88,8,63,53,29,68,"dict_values([83, 57, 40, 120, 103, 14, 21, 128, 1, 133, 88, 8, 63, 53, 29, 68])"
1762168876.3809633,2.14635,0.28727,0.76692,-0.89565,0.19651,59,61,37,118,116,12,19,119,6,128,90,6,66,58,34,71,"dict_values([59, 61, 37, 118, 116, 12, 19, 119, 6, 128, 90, 6, 66, 58, 34, 71])"
1762168879.2095485,2.26229,0.31429,0.7395,-0.90598,0.30252,61,53,43,123,85,14,17,122,2,124,99,9,73,63,20,82,"dict_values([61, 53, 43, 123, 85, 14, 17, 122, 2, 124, 99, 9, 73, 63, 20, 82])"
1762168881.9919627,2.30437,0.34653,0.78992,-0.93156,0.23636,81,52,47,123,73,7,18,140,2,129,125,7,58,61,23,78,"dict_values([81, 52, 47, 123, 73, 7, 18, 140, 2, 129, 125, 7, 58, 61, 23, 78])"
1762168884.7563179,2.12771,0.32143,0.66292,-0.92271,0.22066,69,45,50,116,102,21,24,120,2,115,84,6,73,64,19,57,"dict_values([69, 45, 50, 116, 102, 21, 24, 120, 2, 115, 84, 6, 73, 64, 19, 57])"
1762168887.5983076,2.08911,0.28378,0.76842,-0.83691,0.2,75,56,50,115,121,15,18,131,7,110,104,12,56,61,19,64,"dict_values([75, 56, 50, 115, 121, 15, 18, 131, 7, 110, 104, 12, 56, 61, 19, 64])"
1762168890.4530253,2.31777,0.41017,0.71429,-0.91506,0.27826,85,53,34,123,106,14,21,104,1,127,121,10,79,59,24,68,"dict_values([85, 53, 34, 123, 106, 14, 21, 104, 1, 127, 121, 10, 79, 59, 24, 68])"
1762168893.2555647,2.06188,0.2518,0.70992,-0.93133,0.16883,76,65,39,98,98,19,19,126,2,104,121,6,53,70,26,82,"dict_values([76, 65, 39, 98, 98, 19, 19, 126, 2, 104, 121, 6, 53, 70, 26, 82])"
1762168896.0413291,2.06099,0.24026,0.69176,-0.87407,0.2549,75,59,58,116,110,16,27,126,8,124,129,9,66,52,24,62,"dict_values([75, 59, 58, 116, 110, 16, 27, 126, 8, 124, 129, 9, 66, 52, 24, 62])"
1762168898.9079812,2.14145,0.26241,0.72491,-0.87143,0.2827,67,51,53,111,99,16,21,133,5,133,129,13,78,57,28,74,"dict_values([67, 51, 53, 111, 99, 16, 21, 133, 5, 133, 129, 13, 78, 57, 28, 74])"
1762168901.7814367,2.1383,0.28169,0.71545,-0.89513,0.24603,84,53,49,98,82,20,15,129,3,123,130,11,80,67,28,77,"dict_values([84, 53, 49, 98, 82, 20, 15, 129, 3, 123, 130, 11, 80, 67, 28, 77])"
1762168904.6039503,2.20389,0.41259,0.67719,-0.89189,0.22222,76,45,39,126,94,15,31,145,7,120,125,7,63,49,28,58,"dict_values([76, 45, 39, 126, 94, 15, 31, 145, 7, 120, 125, 7, 63, 49, 28, 58])"
1762168907.435193,2.23286,0.29836,0.77083,-0.91367,0.25,77,58,49,121,113,10,23,142,5,127,139,7,66,59,19,64,"dict_values([77, 58, 49, 121, 113, 10, 23, 142, 5, 127, 139, 7, 66, 59, 19, 64])"
1762168910.29524,2.17653,0.27941,0.75714,-0.91882,0.22115,74,49,49,100,110,16,18,136,4,138,122,7,67,58,23,60,"dict_values([74, 49, 49, 100, 110, 16, 18, 136, 4, 138, 122, 7, 67, 58, 23, 60])"
1762168913.1130311,2.09482,0.27835,0.68421,-0.92218,0.21008,60,51,54,126,91,16,23,117,3,131,116,7,71,66,28,73,"dict_values([60, 51, 54, 126, 91, 16, 23, 117, 3, 131, 116, 7, 71, 66, 28, 73])"
1762168915.9704363,2.10872,0.27632,0.71025,-0.88015,0.24201,85,56,54,109,120,22,19,122,8,129,122,8,62,63,20,74,"dict_values([85, 56, 54, 109, 120, 22, 19, 122, 8, 129, 122, 8, 62, 63, 20, 74])"
1762168918.7969146,2.21767,0.33798,0.68504,-0.94937,0.24528,78,50,45,114,97,4,36,117,1,124,107,5,63,60,20,69,"dict_values([78, 50, 45, 114, 97, 4, 36, 117, 1, 124, 107, 5, 63, 60, 20, 69])"
