datetime,visibility,vis_HV,vis_DA,QBER_total,QBER_HV,QBER_DA,CHSH_S_value,T_Ljubljana,T_Drnovo,T_delta,dT_Ljubljana_dt_C_per_h,dT_Drnovo_dt_C_per_h,dT_delta_dt_C_per_h
2026-07-01 15:55:38.963066101,-0.2814535008183193,-0.2346193952033368,-0.3282876064333018,0.6407267504091596,0.6173096976016684,0.6641438032166509,,29.6,30.4,-0.7999999999999972,0.0,0.0,0.0
2026-07-01 15:55:38.963066101,,,,,,,0.7175327118719401,29.6,30.4,-0.7999999999999972,,,
2026-07-01 15:56:36.247783899,,,,,,,0.6572369957484074,29.6,30.4,-0.7999999999999972,0.0,0.0,0.0
2026-07-01 15:56:36.247783899,-0.2649382677264302,-0.2205240174672489,-0.3093525179856115,0.6324691338632151,0.6102620087336245,0.6546762589928058,,29.6,30.4,-0.7999999999999972,,,
2026-07-01 15:57:33.116763115,-0.2970137571254697,-0.2384937238493724,-0.3555337904015671,0.6485068785627348,0.6192468619246861,0.6777668952007836,,29.6,30.4,-0.7999999999999972,0.0,0.0,0.0
2026-07-01 15:57:33.116763115,,,,,,,0.5974280036885687,29.6,30.4,-0.7999999999999972,,,
2026-07-01 15:58:30.473670006,,,,,,,0.6190858059232027,29.6,30.4,-0.7999999999999972,0.0,0.0,0.0
2026-07-01 15:58:30.473670006,-0.2975363786155282,-0.2310880829015544,-0.3639846743295019,0.6487681893077641,0.6155440414507772,0.6819923371647509,,29.6,30.4,-0.7999999999999972,,,
2026-07-01 15:59:27.728115082,-0.2128015678545624,-0.1730981256890849,-0.25250501002004,0.6064007839272813,0.5865490628445424,0.62625250501002,,29.6,30.4,-0.7999999999999972,0.0,0.0,0.0
2026-07-01 15:59:27.728115082,,,,,,,0.692611901017917,29.6,30.4,-0.7999999999999972,,,
2026-07-01 16:00:24.718713045,-0.1983798257664876,-0.1691331923890063,-0.2276264591439688,0.5991899128832439,0.5845665961945031,0.6138132295719845,,29.6,30.4,-0.7999999999999972,0.0,0.0,0.0
2026-07-01 16:00:24.718713045,,,,,,,0.7546762923026871,29.6,30.4,-0.7999999999999972,,,
